player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards,birth_date
00-0034796,L.Jackson,QB,BAL,2020,23.65,17,273,424,3098.0,26,11.0,184,1175.0,8,0,0,0.0,0,365.41998,1175.0,1997-01-07
00-0034796,L.Jackson,QB,BAL,2021,24.65,12,246,382,2882.0,16,13.0,133,767.0,2,0,0,0.0,0,239.98,767.0,1997-01-07
00-0034796,L.Jackson,QB,BAL,2022,25.65,12,203,326,2242.0,17,7.0,112,764.0,3,0,0,0.0,0,236.08,764.0,1997-01-07
00-0034796,L.Jackson,QB,BAL,2023,26.65,18,343,516,4102.0,27,8.0,167,975.0,7,1,1,13.0,0,385.88,988.0,1997-01-07
00-0034796,L.Jackson,QB,BAL,2024,27.65,19,350,520,4601.0,45,5.0,160,1035.0,4,0,0,0.0,0,471.53998,1035.0,1997-01-07
00-0034438,L.Woodside,QB,TEN,2020,25.6,5,1,3,7.0,0,0.0,7,10.0,0,0,0,0.0,0,1.28,10.0,1995-01-27
00-0034438,L.Woodside,QB,TEN,2021,26.6,4,0,0,0.0,0,0.0,6,-6.0,0,0,0,0.0,0,-0.6,-6.0,1995-01-27
00-0034438,L.Woodside,QB,ATL,2023,28.6,1,3,4,27.0,0,1.0,1,6.0,0,0,0,0.0,0,-0.32,6.0,1995-01-27
00-0030533,M.Barkley,QB,BUF,2019,28.98,2,27,51,359.0,0,3.0,2,-4.0,0,0,0,0.0,0,5.96,-4.0,1990-09-08
00-0030533,M.Barkley,QB,BUF,2020,29.98,4,11,21,197.0,1,1.0,6,-6.0,0,0,0,0.0,0,9.280001,-6.0,1990-09-08
00-0030533,M.Barkley,QB,JAX,2023,32.98,1,0,0,0.0,0,0.0,3,-3.0,0,0,0,0.0,0,-0.3,-3.0,1990-09-08
00-0030520,M.Glennon,QB,LV,2019,29.72,2,6,10,56.0,1,0.0,2,0.0,0,0,0,0.0,0,4.24,0.0,1989-12-12
00-0030520,M.Glennon,QB,JAX,2020,30.72,5,111,179,1072.0,7,5.0,6,17.0,0,0,0,0.0,0,60.579998,17.0,1989-12-12
